source_id,ra,ra_error,dec,dec_error,astrometric_weight_al,radial_velocity,teff_val,radius_val,lum_val
4062323039614879872,269.51207626032374,1.4909016172066092,-29.486288510550104,1.101541096579428,0.11456139,,,,
4062322867816226816,269.53036044332794,1.9236246462975435,-29.496177700627467,1.6180888495302355,0.10248628,,,,
4062322489860236544,269.59218683409716,0.17318104971550058,-29.47604941631833,0.14370105301847297,1.6169858,,,,
4062322902175981440,269.53981196323053,14.718250672771031,-29.485884139786748,13.49418793236236,0.03231353,,,,
4062322077537759488,269.574953476303,0.8850114331555977,-29.50788434044438,0.7270798869269073,0.06417631,,,,
4062322386781064448,269.61439998862886,0.45559893809965446,-29.481976183614595,0.3840557869014104,0.21626519,,,,
4062322734560252032,269.51391244317614,0.314586998761019,-29.518831307356866,0.2859703385607643,0.46583787,,,,
4062322352422088704,269.64134673463803,0.4420762295157928,-29.484374557534522,0.3665689370927728,0.21641593,,,,
4062322047365099392,269.5575579849868,0.25982174955473764,-29.521499788936648,0.21685227445530061,0.5918043,,4414.25,,
4062322627266807040,269.61427455543406,0.19636404899553353,-29.45562372081484,0.16131113175364184,1.1298349,,,,
4062322627114409216,269.6153231710759,1.111169274274487,-29.470483938774137,0.8393435987272087,0.056096613,,3828.0,,
4062322562707618688,269.58268309677857,3.309286190551412,-29.47292751505345,3.3559906891585927,0.16875917,,,,
4062322799096640256,269.5012909748403,0.15920773547775163,-29.502553471494068,0.16415296853734335,1.2380975,,,,
4062323005254712064,269.4931386063361,0.7744165300692911,-29.48615874099235,1.0576939999857498,0.10512091,,,,
4062322390962397440,269.61748425465896,0.47734722387261974,-29.47869960539527,0.4279940944937997,0.3553391,,,,
4062322936535703936,269.5305874707325,1.389361182857955,-29.48504367158695,1.251614414868626,0.025420923,,,,
4062322494041693568,269.59161188097147,0.11756201679075734,-29.492143037363128,0.0966960800886852,3.6234233,,3939.0,,
4062322356548861184,269.6413645798089,9.781609128081286,-29.487336673727967,8.05210995597537,0.35965812,,,,
4062322287829547008,269.59451275312455,22.654817404870272,-29.495534421006738,20.074269092537556,0.013370684,,,,
4062322352422447232,269.63959760722895,11.598717070751771,-29.48642950249272,10.965737228161514,0.088334836,,,,
4062322871945294976,269.54287195222753,0.3545979359103266,-29.500529347143605,0.3789349087058068,0.520714,,,,
4062322768866151296,269.5225553335109,0.23264733062412607,-29.50348319643915,0.21469822251929627,0.8558834,,,,
4062322902176436480,269.5494873281257,21.482034488044974,-29.4870329430562,18.90584567047673,0.060865093,,,,
4062322214982670464,269.62224914415145,0.2559685687398855,-29.502905296734834,0.26226914464130885,1.6096205,,,,
